Month,VINEX adjusted close,Return,Risk adjusted return,,Mkt-RF,SmB,HmL,RF
2001-jan,7.82, 1.6905, 1.1505,,3.41,6.95,-5.64,0.54
2001-feb,7.45,-4.7315,-5.1215,,-10.32,-1.13,13.84,0.39
2001-mar,6.83,-8.3221,-8.7621,,-7.47,0.58,6.27,0.44
2001-apr,7.23, 5.8565, 5.4665,,8.0,0.32,-4.51,0.39
2001-may,7.07,-2.2130,-2.5330,,0.74,2.96,2.87,0.32
2001-jun,6.76,-4.3847,-4.6647,,-2.03,6.41,-2.12,0.28
2001-jul,6.45,-4.5858,-4.8858,,-2.13,-4.2,5.6,0.3
2001-aug,6.32,-2.0155,-2.3255,,-6.22,2.17,3.31,0.31
2001-sep,5.39,-14.7152,-14.9952,,-9.43,-6.53,1.62,0.28
2001-oct,5.56, 3.1540, 2.9340,,2.58,6.86,-7.0,0.22
2001-nov,5.89, 5.9353, 5.7653,,7.7,0.4,0.83,0.17
2001-dec,5.96, 1.1885, 1.0385,,1.63,5.12,0.39,0.15
2002-jan,5.87,-1.5101,-1.6501,,-1.74,1.13,3.47,0.14
2002-feb,5.82,-0.8518,-0.9818,,-2.3,-1.67,3.93,0.13
2002-mar,6.2, 6.5292, 6.3992,,4.34,4.35,1.12,0.13
2002-apr,6.38, 2.9032, 2.7532,,-5.12,5.83,4.2,0.15
2002-may,6.46, 1.2539, 1.1139,,-1.19,-3.71,2.47,0.14
2002-jun,6.17,-4.4892,-4.6192,,-7.16,3.52,1.47,0.13
2002-jul,5.61,-9.0762,-9.2262,,-8.26,-5.18,-3.66,0.15
2002-aug,5.53,-1.4260,-1.5660,,0.66,-2.19,2.18,0.14
2002-sep,4.94,-10.6691,-10.8091,,-10.14,2.71,1.15,0.14
2002-oct,5.04, 2.0243, 1.8843,,7.35,-3.0,-6.51,0.14
2002-nov,5.17, 2.5794, 2.4594,,6.01,3.18,-1.55,0.12
2002-dec,5.06,-2.1277,-2.2377,,-5.44,-0.52,3.88,0.11
2003-jan,5.01,-0.9881,-1.0881,,-2.44,1.39,-0.89,0.1
2003-feb,4.91,-1.9960,-2.0860,,-1.63,-0.29,-1.46,0.09
2003-mar,4.84,-1.4257,-1.5257,,0.93,0.83,-1.71,0.1
2003-apr,5.35,10.5372,10.4372,,8.18,1.12,-0.03,0.1
2003-may,5.95,11.2150,11.1250,,6.26,4.71,0.17,0.09
2003-jun,6.18, 3.8655, 3.7655,,1.53,1.47,0.63,0.1
2003-jul,6.47, 4.6926, 4.6226,,2.24,5.6,-2.07,0.07
2003-aug,6.74, 4.1731, 4.1031,,2.43,2.66,1.78,0.07
2003-sep,7.1, 5.3412, 5.2612,,-0.99,0.58,0.94,0.08
2003-oct,7.47, 5.2113, 5.1413,,5.96,2.91,1.81,0.07
2003-nov,7.63, 2.1419, 2.0719,,1.59,2.23,1.39,0.07
2003-dec,8.1, 6.1599, 6.0799,,4.47,-2.81,2.68,0.08
2004-jan,8.45, 4.3210, 4.2510,,2.23,2.63,1.63,0.07
2004-feb,8.74, 3.4320, 3.3720,,1.49,-1.19,0.36,0.06
2004-mar,8.94, 2.2883, 2.1983,,-1.16,1.85,0.0,0.09
2004-apr,8.76,-2.0134,-2.0934,,-2.5,-2.53,-1.72,0.08
2004-may,8.66,-1.1416,-1.2016,,1.35,-0.15,-0.26,0.06
2004-jun,8.94, 3.2333, 3.1533,,2.08,2.27,1.68,0.08
2004-jul,8.69,-2.7964,-2.8964,,-3.87,-3.83,4.41,0.1
2004-aug,8.77, 0.9206, 0.8106,,0.16,-1.53,1.15,0.11
2004-sep,8.98, 2.3945, 2.2845,,1.94,2.84,0.37,0.11
2004-oct,9.25, 3.0067, 2.8967,,1.67,0.45,-0.93,0.11
2004-nov,9.96, 7.6757, 7.5257,,4.67,4.11,1.91,0.15
2004-dec,10.67, 7.1285, 6.9685,,3.36,0.2,-0.36,0.16
2005-jan,10.77, 0.9372, 0.7772,,-2.82,-1.6,2.47,0.16
2005-feb,11.23, 4.2711, 4.1111,,2.11,-0.76,2.81,0.16
2005-mar,10.98,-2.2262,-2.4362,,-1.9,-1.31,1.67,0.21
2005-apr,10.76,-2.0036,-2.2136,,-2.73,-3.97,-0.46,0.21
2005-may,10.8, 0.3717, 0.1317,,3.56,2.99,-1.21,0.24
2005-jun,11.09, 2.6852, 2.4552,,0.92,2.59,2.72,0.23
2005-jul,11.6, 4.5987, 4.3587,,4.09,2.77,-0.45,0.24
2005-aug,11.83, 1.9828, 1.6828,,-0.89,-0.89,1.4,0.3
2005-sep,12.25, 3.5503, 3.2603,,0.77,-0.64,1.19,0.29
2005-oct,11.75,-4.0816,-4.3516,,-2.35,-1.04,-0.71,0.27
2005-nov,12.06, 2.6383, 2.3283,,3.73,1.01,-1.81,0.31
2005-dec,12.87, 6.7164, 6.3964,,0.03,-0.48,0.48,0.32
2006-jan,13.81, 7.3038, 6.9538,,3.65,5.38,1.13,0.35
2006-feb,13.9, 0.6517, 0.3117,,-0.5,-0.37,-0.84,0.34
2006-mar,14.63, 5.2518, 4.8818,,1.54,3.52,-0.02,0.37
2006-apr,15.44, 5.5366, 5.1766,,0.94,-1.21,3.06,0.36
2006-may,14.67,-4.9870,-5.4170,,-3.53,-2.99,2.72,0.43
2006-jun,14.36,-2.1132,-2.5132,,-0.44,-0.47,1.48,0.4
2006-jul,14.29,-0.4875,-0.8875,,-0.59,-3.91,3.28,0.4
2006-aug,14.62, 2.3093, 1.8893,,2.09,0.79,-1.72,0.42
2006-sep,14.89, 1.8468, 1.4368,,1.53,-1.19,-0.45,0.41
2006-oct,15.44, 3.6938, 3.2838,,3.3,1.68,0.48,0.41
2006-nov,16.13, 4.4689, 4.0489,,1.95,0.7,0.46,0.42
2006-dec,16.78, 4.0298, 3.6298,,0.68,-0.9,2.55,0.4
2007-jan,17.27, 2.9201, 2.4801,,1.5,0.04,-0.09,0.44
2007-feb,17.33, 0.3474,-0.0326,,-1.78,1.39,0.31,0.38
2007-mar,17.88, 3.1737, 2.7437,,0.87,-0.19,0.32,0.43
2007-apr,18.57, 3.8591, 3.4191,,3.55,-2.11,-0.96,0.44
2007-may,19.03, 2.4771, 2.0671,,3.48,-0.07,-0.08,0.41
2007-jun,18.81,-1.1561,-1.5561,,-1.87,0.65,-1.05,0.4
2007-jul,18.72,-0.4785,-0.8785,,-3.57,-2.71,-2.97,0.4
2007-aug,18.17,-2.9380,-3.3580,,0.75,-0.13,-2.35,0.42
2007-sep,18.53, 1.9813, 1.6613,,3.77,-2.47,-2.09,0.32
2007-oct,19.64, 5.9903, 5.6703,,2.26,0.08,-1.98,0.32
2007-nov,18.06,-8.0448,-8.3848,,-5.27,-2.74,-0.99,0.34
2007-dec,17.55,-2.8239,-3.0939,,-0.7,0.06,-0.07,0.27
