Month,DFFVX adjusted close,Return,Risk adjusted return,,Mkt-RF,SmB,HmL,RF
2000-dec,11.5, 6.5802, 6.0802,,1.53,1.53,6.21,0.5
2001-jan,12.22, 6.2609, 5.7209,,3.41,6.95,-5.64,0.54
2001-feb,12.2,-0.1637,-0.5537,,-10.32,-1.13,13.84,0.39
2001-mar,11.75,-3.6885,-4.1285,,-7.47,0.58,6.27,0.44
2001-apr,12.54, 6.7234, 6.3334,,8.0,0.32,-4.51,0.39
2001-may,12.98, 3.5088, 3.1888,,0.74,2.96,2.87,0.32
2001-jun,13.18, 1.5408, 1.2608,,-2.03,6.41,-2.12,0.28
2001-jul,13.44, 1.9727, 1.6727,,-2.13,-4.2,5.6,0.3
2001-aug,13.31,-0.9673,-1.2773,,-6.22,2.17,3.31,0.31
2001-sep,11.31,-15.0263,-15.3063,,-9.43,-6.53,1.62,0.28
2001-oct,11.64, 2.9178, 2.6978,,2.58,6.86,-7.0,0.22
2001-nov,12.72, 9.2784, 9.1084,,7.7,0.4,0.83,0.17
2001-dec,12.69,-0.2358,-0.3858,,1.63,5.12,0.39,0.15
2002-jan,12.86, 1.3396, 1.1996,,-1.74,1.13,3.47,0.14
2002-feb,13.15, 2.2551, 2.1251,,-2.3,-1.67,3.93,0.13
2002-mar,14.28, 8.5932, 8.4632,,4.34,4.35,1.12,0.13
2002-apr,14.68, 2.8011, 2.6511,,-5.12,5.83,4.2,0.15
2002-may,14.21,-3.2016,-3.3416,,-1.19,-3.71,2.47,0.14
2002-jun,13.68,-3.7298,-3.8598,,-7.16,3.52,1.47,0.13
2002-jul,11.67,-14.6930,-14.8430,,-8.26,-5.18,-3.66,0.15
2002-aug,11.67, 0.0000,-0.1400,,0.66,-2.19,2.18,0.14
2002-sep,10.64,-8.8260,-8.9660,,-10.14,2.71,1.15,0.14
2002-oct,10.91, 2.5376, 2.3976,,7.35,-3.0,-6.51,0.14
2002-nov,12.15,11.3657,11.2457,,6.01,3.18,-1.55,0.12
2002-dec,10.1,-16.8724,-16.9824,,-5.44,-0.52,3.88,0.11
2003-jan,9.63,-4.6535,-4.7535,,-2.44,1.39,-0.89,0.1
2003-feb,9.22,-4.2575,-4.3475,,-1.63,-0.29,-1.46,0.09
2003-mar,9.19,-0.3254,-0.4254,,0.93,0.83,-1.71,0.1
2003-apr,10.29,11.9695,11.8695,,8.18,1.12,-0.03,0.1
2003-may,11.46,11.3703,11.2803,,6.26,4.71,0.17,0.09
2003-jun,11.64, 1.5707, 1.4707,,1.53,1.47,0.63,0.1
2003-jul,12.32, 5.8419, 5.7719,,2.24,5.6,-2.07,0.07
2003-aug,13.12, 6.4935, 6.4235,,2.43,2.66,1.78,0.07
2003-sep,12.94,-1.3720,-1.4520,,-0.99,0.58,0.94,0.08
2003-oct,14.19, 9.6600, 9.5900,,5.96,2.91,1.81,0.07
2003-nov,14.78, 4.1579, 4.0879,,1.59,2.23,1.39,0.07
2003-dec,13.82,-6.4953,-6.5753,,4.47,-2.81,2.68,0.08
2004-jan,14.45, 4.5586, 4.4886,,2.23,2.63,1.63,0.07
2004-feb,14.68, 1.5917, 1.5317,,1.49,-1.19,0.36,0.06
2004-mar,14.81, 0.8856, 0.7956,,-1.16,1.85,0.0,0.09
2004-apr,14.31,-3.3761,-3.4561,,-2.5,-2.53,-1.72,0.08
2004-may,14.52, 1.4675, 1.4075,,1.35,-0.15,-0.26,0.06
2004-jun,15.33, 5.5785, 5.4985,,2.08,2.27,1.68,0.08
2004-jul,14.59,-4.8271,-4.9271,,-3.87,-3.83,4.41,0.1
2004-aug,14.49,-0.6854,-0.7954,,0.16,-1.53,1.15,0.11
2004-sep,15.14, 4.4859, 4.3759,,1.94,2.84,0.37,0.11
2004-oct,15.27, 0.8587, 0.7487,,1.67,0.45,-0.93,0.11
2004-nov,16.68, 9.2338, 9.0838,,4.67,4.11,1.91,0.15
2004-dec,15.64,-6.2350,-6.3950,,3.36,0.2,-0.36,0.16
2005-jan,15.14,-3.1969,-3.3569,,-2.82,-1.6,2.47,0.16
2005-feb,15.56, 2.7741, 2.6141,,2.11,-0.76,2.81,0.16
2005-mar,15.41,-0.9640,-1.1740,,-1.9,-1.31,1.67,0.21
2005-apr,14.37,-6.7489,-6.9589,,-2.73,-3.97,-0.46,0.21
2005-may,15.32, 6.6110, 6.3710,,3.56,2.99,-1.21,0.24
2005-jun,15.92, 3.9164, 3.6864,,0.92,2.59,2.72,0.23
2005-jul,16.89, 6.0930, 5.8530,,4.09,2.77,-0.45,0.24
2005-aug,16.63,-1.5394,-1.8394,,-0.89,-0.89,1.4,0.3
2005-sep,16.6,-0.1804,-0.4704,,0.77,-0.64,1.19,0.29
2005-oct,15.87,-4.3976,-4.6676,,-2.35,-1.04,-0.71,0.27
2005-nov,16.91, 6.5532, 6.2432,,3.73,1.01,-1.81,0.31
2005-dec,15.44,-8.6931,-9.0131,,0.03,-0.48,0.48,0.32
2006-jan,16.68, 8.0311, 7.6811,,3.65,5.38,1.13,0.35
2006-feb,16.5,-1.0791,-1.4191,,-0.5,-0.37,-0.84,0.34
2006-mar,17.18, 4.1212, 3.7512,,1.54,3.52,-0.02,0.37
2006-apr,17.4, 1.2806, 0.9206,,0.94,-1.21,3.06,0.36
2006-may,16.8,-3.4483,-3.8783,,-3.53,-2.99,2.72,0.43
2006-jun,16.84, 0.2381,-0.1619,,-0.44,-0.47,1.48,0.4
2006-jul,16.32,-3.0879,-3.4879,,-0.59,-3.91,3.28,0.4
2006-aug,16.69, 2.2672, 1.8472,,2.09,0.79,-1.72,0.42
2006-sep,16.81, 0.7190, 0.3090,,1.53,-1.19,-0.45,0.41
2006-oct,17.64, 4.9375, 4.5275,,3.3,1.68,0.48,0.41
2006-nov,18.24, 3.4014, 2.9814,,1.95,0.7,0.46,0.42
2006-dec,16.84,-7.6754,-8.0754,,0.68,-0.9,2.55,0.4
2007-jan,17.19, 2.0784, 1.6384,,1.5,0.04,-0.09,0.44
2007-feb,17.1,-0.5236,-0.9036,,-1.78,1.39,0.31,0.38
2007-mar,17.22, 0.7018, 0.2718,,0.87,-0.19,0.32,0.43
2007-apr,17.57, 2.0325, 1.5925,,3.55,-2.11,-0.96,0.44
2007-may,18.33, 4.3256, 3.9156,,3.48,-0.07,-0.08,0.41
2007-jun,18.05,-1.5276,-1.9276,,-1.87,0.65,-1.05,0.4
2007-jul,16.74,-7.2576,-7.6576,,-3.57,-2.71,-2.97,0.4
2007-aug,16.69,-0.2987,-0.7187,,0.75,-0.13,-2.35,0.42
2007-sep,16.66,-0.1797,-0.4997,,3.77,-2.47,-2.09,0.32
2007-oct,16.7, 0.2401,-0.0799,,2.26,0.08,-1.98,0.32
2007-nov,15.51,-7.1257,-7.4657,,-5.27,-2.74,-0.99,0.34
2007-dec,14.9,-3.9329,-4.2029,,-0.7,0.06,-0.07,0.27
2008-jan,14.19,-4.7651,-4.9751,,-6.44,-0.76,3.05,0.21
2008-feb,13.83,-2.5370,-2.6670,,-2.33,-0.54,0.0,0.13
2008-mar,13.92, 0.6508, 0.4808,,-1.21,0.85,0.19,0.17
2008-apr,14.38, 3.3046, 3.1346,,4.94,-1.53,0.07,0.17
2008-may,15.04, 4.5897, 4.4197,,2.22,2.87,-0.31,0.17
2008-jun,13.49,-10.3059,-10.4759,,-8.03,1.08,-1.05,0.17
2008-jul,13.84, 2.5945, 2.4445,,-1.47,3.71,3.61,0.15
2008-aug,14.46, 4.4798, 4.3598,,0.99,3.76,1.46,0.12
2008-sep,13.55,-6.2932,-6.4432,,-9.96,-0.24,4.48,0.15
2008-oct,10.61,-21.6974,-21.7774,,-18.54,-2.12,-3.13,0.08
2008-nov,9.23,-13.0066,-13.0266,,-8.55,-3.62,-4.93,0.02
2008-dec,9.83, 6.5005, 6.4105,,2.06,4.04,-1.28,0.09
2009-jan,8.48,-13.7335,-13.7335,,-7.75,-0.91,-9.93,0.0
2009-feb,7.36,-13.2075,-13.2175,,-10.12,-0.41,-6.73,0.01
2009-mar,8.17,11.0054,10.9954,,8.76,0.74,2.55,0.01
2009-apr,9.76,19.4614,19.4514,,11.04,5.14,5.74,0.01
2009-may,10.09, 3.3811, 3.3811,,6.73,-2.61,0.44,0.0
2009-jun,10.06,-0.2973,-0.2973,,-0.28,2.64,-2.48,0.0
2009-jul,11.26,11.9284,11.9184,,8.24,2.48,4.83,0.01
2009-aug,11.86, 5.3286, 5.3186,,3.18,-0.58,7.62,0.01
2009-sep,12.52, 5.5649, 5.5649,,4.52,2.36,1.5,0.0
2009-oct,11.62,-7.1885,-7.1885,,-2.84,-4.28,-4.38,0.0
2009-nov,12.01, 3.3563, 3.3563,,5.74,-2.83,0.12,0.0
2009-dec,12.96, 7.9101, 7.9101,,2.92,5.88,0.74,0.0
2010-jan,12.66,-2.3148,-2.3148,,-3.71,0.43,0.57,0.0
2010-feb,13.37, 5.6082, 5.6082,,3.54,1.41,2.75,0.0
2010-mar,14.48, 8.3022, 8.3022,,6.44,1.59,2.02,0.0
2010-apr,15.53, 7.2514, 7.2514,,2.02,5.0,3.14,0.0
2010-may,14.13,-9.0148,-9.0248,,-8.0,-0.03,-2.36,0.01
2010-jun,12.79,-9.4834,-9.4934,,-5.21,-2.05,-4.28,0.01
2010-jul,13.79, 7.8186, 7.8086,,7.24,-0.08,0.13,0.01
2010-aug,12.67,-8.1218,-8.1318,,-4.4,-2.92,-1.71,0.01
2010-sep,14.23,12.3125,12.3025,,9.24,3.97,-3.14,0.01
2010-oct,14.76, 3.7245, 3.7145,,3.89,0.91,-2.14,0.01
2010-nov,15.35, 3.9973, 3.9873,,0.58,3.71,-0.64,0.01
